FSCS Key,Library Name,Library Type,Adult Registered Users,Juvenile Registered Users,Total Registered Users,% Population Registered,Library Visits,Visits Per Capita,Meeting Room Use by Outside Groups,Meeting Room Attendance,Reference Transactions,Reference Transactions Per Capita,Reference Transactions Per Staff FTE,Interlibrary Loans Provided,Interlibrary Loans Received
NC0100,JACOB MAUNEY MEMORIAL LIBRARY,Municipal,6315,5506,11821,1.0351138,34451,3.01673,-1,-1,0,0,0,2753,3903
NC0042,LEE COUNTY LIBRARY,County,7893,15479,23372,0.3647999,45629,0.7122,114,-1,21640,0.33777,2164,4995,7516
NC0106,LINCOLN COUNTY PUBLIC LIBRARY,County,35712,22655,58367,0.6517375,145830,1.62837,36,543,28593,0.31928,1039.74545,0,1
NC0043,MADISON COUNTY PUBLIC LIBRARY,County,7944,3666,11610,0.5413597,90749,4.23151,1358,6267,14187,0.66152,1504.45387,6297,5786
NC0044,MCDOWELL COUNTY PUBLIC LIBRARY,County,7812,10051,17863,0.399727,93912,2.1015,-1,-1,12387,0.27719,1141.65899,6294,5432
NC0083,MOORESVILLE PUBLIC LIBRARY,Municipal,23668,39482,63150,1.201827,128340,2.44248,58,985,19331,0.36789,583.48928,611,744
NC0011,NANTAHALA REGIONAL LIBRARY,Regional,4629,404,5033,0.1042763,136698,2.83218,437,5723,31220,0.64683,2450.54945,971,4297
NC0012,NEUSE REGIONAL LIBRARY,Regional,19391,24366,43757,0.5198213,164547,1.95477,2531,5831,59849,0.71099,1944.41196,5093,9980
NC0047,NEW HANOVER COUNTY PUBLIC LIBRARY,County,72283,49275,121558,0.5286441,393890,1.71299,524,8504,94674,0.41173,1936.07362,1122,462
NC0013,NORTHWESTERN REGIONAL LIBRARY,Regional,32281,36864,69145,0.4201581,204104,1.24023,2739,22222,126024,0.76578,2615.14837,28630,18582
NC0048,ONSLOW COUNTY PUBLIC LIBRARY,County,33610,5813,39423,0.1908827,229474,1.11109,328,4402,54038,0.26165,1715.49206,17021,10261
NC0108,ORANGE COUNTY PUBLIC LIBRARY,County,19563,32408,51971,0.5820277,79046,0.88524,22,219,11283,0.12636,356.71831,0,0
NC0049,PENDER COUNTY PUBLIC LIBRARY,County,6972,2545,9517,0.1511163,85395,1.35595,230,-1,15286,0.24272,1109.28882,7,95
NC0062,H. LESLIE PERRY MEMORIAL LIBRARY,County,7124,9182,16306,0.3857582,62000,1.46676,351,-1,-1,0,0,1717,5221
NC0109,PERSON COUNTY PUBLIC LIBRARY,County,5907,1106,7013,0.1776073,54965,1.39201,92,1540,10520,0.26642,1250.8918,1199,3837
NC0014,PETTIGREW REGIONAL LIBRARY,Regional,17635,4598,22233,0.5426256,134747,3.28868,423,2322,16836,0.4109,2590.15385,118,35
NC0051,POLK COUNTY PUBLIC LIBRARIES,County,7140,3487,10627,0.5433304,68430,3.49865,464,1621,6214,0.31771,582.92683,12781,7900
NC0041,PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,County,20099,63596,83695,0.4216946,64026,0.32259,527,944,34268,0.17266,1757.33333,10569,12373
NC0052,RANDOLPH PUBLIC LIBRARY,County,90709,49332,140041,0.9655603,186189,1.28374,1100,2090,48222,0.33248,1005.04377,226,98
NC0088,ROANOKE RAPIDS PUBLIC LIBRARY,Municipal,,,,0,8646,0.5727,0,0,7042,0.46645,2347.33333,0,0
NC0053,ROBESON COUNTY PUBLIC LIBRARY,County,8443,2182,10625,0.0912135,66980,0.57501,-1,-1,12481,0.10715,626.24185,4,91
NC0054,ROCKINGHAM COUNTY PUBLIC LIBRARY,County,19386,20999,40385,0.4403747,243965,2.66029,1048,10445,51330,0.55972,1414.04959,11611,17219
NC0055,ROWAN PUBLIC LIBRARY,County,50852,43154,94006,0.6360395,235186,1.59126,254,3789,49359,0.33396,973.74236,300,6
NC0056,RUTHERFORD COUNTY LIBRARY,County,13449,13877,27326,0.4252214,41770,0.64999,163,1342,20116,0.31303,2099.79123,5736,13617
NC0057,SAMPSON-CLINTON PUBLIC LIBRARY,County,10975,7295,18270,0.3095613,27512,0.46615,-1,-1,4316,0.07313,352.9027,922,922
NC0015,SANDHILL REGIONAL LIBRARY SYSTEM,Regional,28711,50970,79681,0.3755969,104625,0.49318,144,1660,53781,0.25351,1201.81006,6197,20723
NC0058,SCOTLAND COUNTY MEMORIAL LIBRARY,County,6562,7236,13798,0.4144539,30855,0.9268,70,674,1596,0.04794,228,2071,3741
NC0050,SHEPPARD MEMORIAL LIBRARY,County,56724,9145,65869,0.3930506,187313,1.11773,148,355,55947,0.33384,1824.16042,0,0
NC0093,SOUTHERN PINES PUBLIC LIBRARY,Municipal,6084,1022,7106,0.4452102,70183,4.39716,4,66,5252,0.32905,486.2963,409,95
NC0059,STANLY COUNTY PUBLIC LIBRARY,County,27388,5614,33002,0.5266921,63845,1.01893,12,221,14688,0.23441,1040.96386,0,0
NC0060,TRANSYLVANIA COUNTY LIBRARY,County,12001,7573,19574,0.586733,128869,3.86286,536,5947,12049,0.36117,649.54178,11345,14723
NC0061,UNION COUNTY PUBLIC LIBRARY,County,91808,98138,189946,0.7818381,270828,1.11476,201,5089,79850,0.32867,1362.86056,0,0
NC0063,WAKE COUNTY PUBLIC LIBRARIES,County,319671,43307,362978,0.315435,1974968,1.71629,0,0,214843,0.1867,850.86337,947,13120
NC0101,WARREN COUNTY MEMORIAL LIBRARY,County,5394,1751,7145,0.3790451,18918,1.00361,128,1498,6304,0.33443,741.64706,0,0
NC0065,WAYNE COUNTY PUBLIC LIBRARY,County,16478,30383,46861,0.3982679,114113,0.96984,130,1196,133951,1.13844,3871.41618,7939,13324
NC0066,WILSON COUNTY PUBLIC LIBRARY,County,24415,5273,29688,0.3779071,84864,1.08026,902,2520,20081,0.25562,616.73833,108,74
