FSCS Key,Library Name,Economic Tier,Library Type,Tech Lending Circulation,Staff Internet Terminals,Public Internet Computers,Public Computers Per 5000 Pop,Public Internet Uses Per Year,Internet Uses Per 25000 Pop,Internet Uses Per Hour,Wireless Internet Sessions,Wireless Uses Per 25000 Pop,Wireless Uses Per Hour,Website Visits
NC0102,HAROLD D. COOLEY LIBRARY,1,Municipal,854,28,46,40.14662244719847,5853,2341.38731,0.89209,19801,7921.03368,3.01799,51934
NC0038,HAYWOOD COUNTY PUBLIC LIBRARY,2,County,665,52,35,2.8002240179214337,18052,3866.84946,1.4617,36983,7921.98612,2.99457,123021
NC0039,HENDERSON COUNTY PUBLIC LIBRARY,3,County,306,36,44,1.885014137606032,12037,6827.87648,2.22085,-1,0,0,-1
NC0079,HICKORY PUBLIC LIBRARY,2,Municipal,10,175,139,15.769291856692305,12933,2821.4828,3.90607,15034,3279.84013,4.54062,105072
NC0080,HIGH POINT PUBLIC LIBRARY,2,Municipal,19,10,7,0.3054261130600206,2330,2066.48219,0.84543,74048,65673.33617,26.86792,14686
NC0110,HOCUTT ELLINGTON MEMORIAL LIBRARY,3,Municipal,549,43,61,10.820207180360438,13117,2355.66459,1.44971,22608,4060.14065,2.49867,54182
NC0040,IREDELL COUNTY LIBRARY,3,County,25,11,29,1.0416142866378846,5443,11915.49912,2.09346,27500,60201.40105,10.57692,46564
NC0100,JACOB MAUNEY MEMORIAL LIBRARY,1,Municipal,72,14,16,7.005253940455342,6392,2494.22489,2.42121,8118,3167.72804,3.075,36393
NC0042,LEE COUNTY LIBRARY,2,County,177,28,56,4.3703564962227635,14404,4020.94779,1.72896,8726,2435.90603,1.04741,35918
NC0106,LINCOLN COUNTY PUBLIC LIBRARY,3,County,134,15,53,2.9590423868864173,7669,8939.89555,1.02417,36445,42484.61252,4.86712,17793
NC0043,MADISON COUNTY PUBLIC LIBRARY,2,County,0,15,38,8.859460971742982,8492,4750.71608,1.99812,5904,3302.90011,1.38918,43793
NC0044,MCDOWELL COUNTY PUBLIC LIBRARY,2,County,116,38,50,5.594343000358038,10640,5062.32753,3.47599,24831,11814.15929,8.11205,60231
NC0083,MOORESVILLE PUBLIC LIBRARY,3,Municipal,0,32,84,7.993148729660291,10842,5615.75436,1.01327,18925,9802.44893,1.76869,6134
NC0011,NANTAHALA REGIONAL LIBRARY,1,Regional,1934,42,122,12.63829610906228,33146,9844.13795,2.04302,454428,134962.04426,28.00962,226990
NC0012,NEUSE REGIONAL LIBRARY,1,Regional,1330,95,78,4.633094550768025,36910,4012.95104,3.28615,-1,0,0,366855
NC0047,NEW HANOVER COUNTY PUBLIC LIBRARY,3,County,1204,73,203,4.41413741666413,28506,4330.40245,0.91295,112561,17099.36258,3.60495,67062
NC0013,NORTHWESTERN REGIONAL LIBRARY,2,Regional,344,47,107,3.250916029142791,32215,3899.55454,2.77811,-1,0,0,-1
NC0048,ONSLOW COUNTY PUBLIC LIBRARY,1,County,1557,45,15,0.36314336900208205,5995,1678.46304,1.0113,28438,7961.9903,4.79723,-1
NC0108,ORANGE COUNTY PUBLIC LIBRARY,3,County,1,17,27,1.5118766308669214,5543,2200.37156,1.23507,41561,16498.2216,9.26047,50838
NC0049,PENDER COUNTY PUBLIC LIBRARY,3,County,52,21,35,2.77874813426911,4979,2944.75988,2.37095,2154,1273.95316,1.02571,-1
NC0109,PERSON COUNTY PUBLIC LIBRARY,2,County,26,10,12,1.51952590791673,4327,2739.57858,1.30018,-1,-0.63314,-0.0003,-1
NC0014,PETTIGREW REGIONAL LIBRARY,1,Regional,353,32,73,8.908305469455495,9319,5686.06155,1.21089,30499,18609.20606,3.96297,12756
NC0051,POLK COUNTY PUBLIC LIBRARIES,2,County,563,15,23,5.8796461986809145,7596,9709.08533,1.47409,44144,56424.15256,8.56666,57256
NC0041,PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,3,County,206,16,34,0.8565396804603145,5582,703.11831,0.5032,5630,709.16447,0.50753,53133
NC0052,RANDOLPH PUBLIC LIBRARY,1,County,181,71,105,3.6197909484541766,17753,3060.10232,1.02524,17796,3067.51427,1.02772,122000
NC0088,ROANOKE RAPIDS PUBLIC LIBRARY,1,Municipal,0,6,13,4.305491157183546,2208,3656.35557,1.06154,615,1018.41425,0.29567,-1
NC0053,ROBESON COUNTY PUBLIC LIBRARY,1,County,0,28,66,2.832982787483367,9888,2122.16165,0.83401,20646,4431.04262,1.7414,-1
NC0054,ROCKINGHAM COUNTY PUBLIC LIBRARY,1,County,4061,29,71,3.871066233398033,32432,8841.29719,2.70312,40048,10917.49722,3.33789,54632
NC0055,ROWAN PUBLIC LIBRARY,1,County,91,53,95,3.213824180136537,19716,3334.93461,1.67582,42024,7108.30249,3.57195,-1
NC0056,RUTHERFORD COUNTY LIBRARY,1,County,364,16,24,1.8673264553475561,6143,2389.78884,0.90525,19380,7539.33056,2.85588,43408
NC0057,SAMPSON-CLINTON PUBLIC LIBRARY,1,County,0,16,19,1.6096511292973448,4086,1730.79856,0.62978,-1,0,0,-1
NC0015,SANDHILL REGIONAL LIBRARY SYSTEM,2,Regional,1180,115,239,5.632939734615475,15137,1783.80353,0.5467,31725,3738.5986,1.1458,95765
NC0058,SCOTLAND COUNTY MEMORIAL LIBRARY,1,County,0,9,14,2.1026072329688814,5374,4035.50402,1.93309,-1,0,0,-1
NC0050,SHEPPARD MEMORIAL LIBRARY,1,County,164,41,48,1.432117624594233,22712,3388.15161,2.01187,-1,0,0,116357
NC0093,SOUTHERN PINES PUBLIC LIBRARY,3,Municipal,22,14,11,3.4458993797381114,2351,3682.41338,0.21119,4309,6749.26383,0.38708,53940
NC0059,STANLY COUNTY PUBLIC LIBRARY,2,County,424,20,42,3.351473850524266,7717,3078.96711,0.82026,8447,3370.22614,0.89785,30199
NC0060,TRANSYLVANIA COUNTY LIBRARY,3,County,159,32,35,5.245646113725607,10826,8112.7664,3.06165,25577,19166.84152,7.23331,121114
NC0061,UNION COUNTY PUBLIC LIBRARY,3,County,621,75,161,3.3134662561535806,20600,2119.79518,1.90459,47813,4920.08578,4.42058,258699
NC0063,WAKE COUNTY PUBLIC LIBRARIES,3,County,0,393,470,2.042196116872711,150313,3265.62367,2.4477,272366,5917.28497,4.43521,-1
NC0101,WARREN COUNTY MEMORIAL LIBRARY,1,County,46,22,22,5.835543766578249,3080,4084.88064,1.34615,,0,0,275228
NC0065,WAYNE COUNTY PUBLIC LIBRARY,1,County,1493,59,121,5.14184698543285,24028,5105.30163,2.94894,54380,11554.28261,6.67403,85006
NC0066,WILSON COUNTY PUBLIC LIBRARY,1,County,152,31,69,4.391603762777021,14605,4647.78065,1.21617,27811,8850.35451,2.31585,43217
