FSCS Key,Library Name,Library Type,Local Funds Municipal ($),Local Funds County ($),Local Funds Total ($),State Aid ($),State Other ($),State Funds Total ($),Federal LSTA ($),Federal Other ($),Federal Funds Total ($),Other Funds ($),Operating Income ($)
NC0112,GIVENS MEMORIAL LIBRARY & TUFTS ARCHIVE,MUNICIPAL,150000,0,150000,7204,0,7204,7204,0,7204,237492,394696
NC0034,GRANVILLE COUNTY LIBRARY SYSTEM,County,0,1680287,1680287,109204,0,109204,109204,0,109204,19615,1830247.07
NC0035,GREENSBORO PUBLIC LIBRARY,County,8356028,1468630,9824658,347457,0,347457,347457,0,347457,42578,10214693
NC0036,HALIFAX COUNTY LIBRARY SYSTEM,County,86046,606441,692487,94425,0,94425,94425,0,94425,7555,850080.02
NC0037,HARNETT COUNTY PUBLIC LIBRARY,County,579551,1542378,2121929,177898,0,177898,177898,0,177898,6071,2373273.38
NC0102,HAROLD D. COOLEY LIBRARY,Municipal,286445,15000,301445,3933,0,3933,3933,0,3933,0,323338.62
NC0038,HAYWOOD COUNTY PUBLIC LIBRARY,County,903,1573061,1573964,104898,0,104898,104898,0,104898,0,1699227.86
NC0039,HENDERSON COUNTY PUBLIC LIBRARY,County,0,3377882,3377882,138486,0,138486,138486,0,138486,104411,3620779
NC0079,HICKORY PUBLIC LIBRARY,Municipal,2016206,225289,2241495,29777,0,29777,29777,0,29777,25492,2296764
NC0080,HIGH POINT PUBLIC LIBRARY,Municipal,4747930,500000,5247930,88585,0,88585,88585,0,88585,0,5378443.02
NC0110,HOCUTT ELLINGTON MEMORIAL LIBRARY,Municipal,734271,0,734271,17829,0,17829,17829,0,17829,9918,778394.74
NC0040,IREDELL COUNTY LIBRARY,County,0,2351440,2351440,147485,15193,162678,147485,15193,162678,20000,2560421.37
NC0100,JACOB MAUNEY MEMORIAL LIBRARY,Municipal,699462,67500,766962,11411,0,11411,11411,0,11411,0,784472.04
NC0042,LEE COUNTY LIBRARY,County,0,616985,616985,115502,2000,117502,115502,2000,117502,17353,769122.58
NC0106,LINCOLN COUNTY PUBLIC LIBRARY,County,0,2123398,2123398,119239,0,119239,119239,0,119239,0,2323725.64
NC0043,MADISON COUNTY PUBLIC LIBRARY,County,0,450763,450763,80087,0,80087,80087,0,80087,32001,568786.65
NC0044,MCDOWELL COUNTY PUBLIC LIBRARY,County,0,780980,780980,100754,0,100754,100754,0,100754,23073,1047285.4
NC0083,MOORESVILLE PUBLIC LIBRARY,Municipal,1850802,1449545,3300347,31187,0,31187,31187,0,31187,28324,3464037
NC0011,NANTAHALA REGIONAL LIBRARY,Regional,266676,501780,768456,293908,0,293908,293908,0,293908,11320,1083684
NC0012,NEUSE REGIONAL LIBRARY,Regional,205500,1017213,1222713,330355,0,330355,330355,0,330355,552855,2347451.12
NC0047,NEW HANOVER COUNTY PUBLIC LIBRARY,County,0,4767684,4767684,197241,0,197241,197241,0,197241,178483,5161447.59
NC0013,NORTHWESTERN REGIONAL LIBRARY,Regional,304750,1716510,2021260,448118,0,448118,448118,0,448118,98107,2620817.55
NC0048,ONSLOW COUNTY PUBLIC LIBRARY,County,0,2182011,2182011,233953,0,233953,233953,0,233953,102560,2548562.65
NC0108,ORANGE COUNTY PUBLIC LIBRARY,County,4000,2344721,2348721,104390,0,104390,104390,0,104390,15969,2550415.62
NC0049,PENDER COUNTY PUBLIC LIBRARY,County,0,849391,849391,105387,0,105387,105387,0,105387,0,954778
NC0062,H. LESLIE PERRY MEMORIAL LIBRARY,County,123267,698517,821784,100912,0,100912,100912,0,100912,43264,1066760.59
NC0109,PERSON COUNTY PUBLIC LIBRARY,County,0,549707,549707,92566,0,92566,92566,0,92566,9891,676356.39
NC0014,PETTIGREW REGIONAL LIBRARY,Regional,0,731495,731495,350137,8116,358253,350137,8116,358253,52611,1242200
NC0051,POLK COUNTY PUBLIC LIBRARIES,County,0,664569,664569,76211,0,76211,76211,0,76211,23182,826903.06
NC0041,PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,County,700262,610000,1310262,202603,0,202603,202603,0,202603,9568,1531332.7
NC0052,RANDOLPH PUBLIC LIBRARY,County,849411,2112387,2961798,183700,0,183700,183700,0,183700,340721,3518637.39
NC0088,ROANOKE RAPIDS PUBLIC LIBRARY,Municipal,219074,0,219074,10112,0,10112,10112,0,10112,1700,241782.17
NC0053,ROBESON COUNTY PUBLIC LIBRARY,County,396180,700000,1096180,189310,0,189310,189310,0,189310,30522,1323987.79
NC0054,ROCKINGHAM COUNTY PUBLIC LIBRARY,County,2600,1493321,1495921,140003,0,140003,140003,0,140003,118344,1844085.2
NC0055,ROWAN PUBLIC LIBRARY,County,0,4243292,4243292,180241,36000,216241,180241,36000,216241,92787,4552320
NC0056,RUTHERFORD COUNTY LIBRARY,County,0,613517,613517,117975,0,117975,117975,0,117975,33974,869972.04
NC0057,SAMPSON-CLINTON PUBLIC LIBRARY,County,4000,721052,725052,115764,9770,125534,115764,9770,125534,3169,863524.5
NC0015,SANDHILL REGIONAL LIBRARY SYSTEM,Regional,42800,2263680,2306480,516547,0,516547,516547,0,516547,91248,3147536.98
NC0058,SCOTLAND COUNTY MEMORIAL LIBRARY,County,0,360784,360784,99809,0,99809,99809,0,99809,6579,467172
NC0050,SHEPPARD MEMORIAL LIBRARY,County,1552118,633684,2185802,187391,0,187391,187391,0,187391,82523,2466408
NC0093,SOUTHERN PINES PUBLIC LIBRARY,Municipal,930345,0,930345,7241,0,7241,7241,0,7241,35000,972586
NC0059,STANLY COUNTY PUBLIC LIBRARY,County,0,1340660,1340660,112623,0,112623,112623,0,112623,1418,1472901.26
NC0060,TRANSYLVANIA COUNTY LIBRARY,County,0,1389912,1389912,86139,0,86139,86139,0,86139,5000,1481051
NC0061,UNION COUNTY PUBLIC LIBRARY,County,0,5284890,5284890,197175,0,197175,197175,0,197175,72014,5554079
NC0063,WAKE COUNTY PUBLIC LIBRARIES,County,0,27208143,27208143,608701,0,608701,608701,0,608701,0,27826057.69
NC0101,WARREN COUNTY MEMORIAL LIBRARY,County,0,482603,482603,79633,0,79633,79633,0,79633,2915,565151
NC0065,WAYNE COUNTY PUBLIC LIBRARY,County,0,2018007,2018007,157529,94573,252102,157529,94573,252102,47316,2503046.73
NC0066,WILSON COUNTY PUBLIC LIBRARY,County,0,2026610,2026610,127960,0,127960,127960,0,127960,1995,2189987.1
