FSCS Key,Library Name,Library Type,FTE ALA/MLS,FTE MLS Not ALA,Total FTE MLS,Other Paid Staff,Total FTE Staff,FTE Per 25000 Population,% of Staff with ALA/MLS,Volunteer Hours
NC0043,MADISON COUNTY PUBLIC LIBRARY,County,3,0,3,6.43,9.43,10.992725916254779,0.3181336,6474
NC0044,MCDOWELL COUNTY PUBLIC LIBRARY,County,2,0,2,8.85,10.85,6.069862155388471,0.1843318,0
NC0083,MOORESVILLE PUBLIC LIBRARY,Municipal,7.5,0,7.5,25.63,33.13,15.762679607955087,0.2263809,178
NC0011,NANTAHALA REGIONAL LIBRARY,Regional,1.88,0,1.88,10.86,12.74,6.598848050387437,0.1475667,
NC0012,NEUSE REGIONAL LIBRARY,Regional,5.73,2,7.73,23.05,30.78,9.141451940553834,0.1861598,1211
NC0047,NEW HANOVER COUNTY PUBLIC LIBRARY,County,19,0,19,29.9,48.9,5.316534967361476,0.3885481,7532
NC0013,NORTHWESTERN REGIONAL LIBRARY,Regional,2,0,2,46.19,48.19,7.320637544130425,0.0415024,2739
NC0048,ONSLOW COUNTY PUBLIC LIBRARY,County,6,0,6,25.5,31.5,3.813005374521861,0.1904762,1420
NC0108,ORANGE COUNTY PUBLIC LIBRARY,County,13,0,13,18.63,31.63,8.855677376726058,0.4110022,0
NC0049,PENDER COUNTY PUBLIC LIBRARY,County,4,0,4,9.78,13.78,5.4701641843183335,0.2902758,2069
NC0062,H. LESLIE PERRY MEMORIAL LIBRARY,County,4,0,4,11,15,8.87154009936125,0.2666667,0
NC0109,PERSON COUNTY PUBLIC LIBRARY,County,2.81,0,2.81,5.6,8.41,5.3246720356582085,0.334126,0
NC0014,PETTIGREW REGIONAL LIBRARY,Regional,4,0,4,2.5,6.5,3.966026407634296,0.6153846,214
NC0051,POLK COUNTY PUBLIC LIBRARIES,County,2.81,0,2.81,7.85,10.66,13.625440973464901,0.2636023,472
NC0041,PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,County,3,0,3,16.5,19.5,2.4562534954376662,0.1538462,79
NC0052,RANDOLPH PUBLIC LIBRARY,County,12,0,12,35.98,47.98,8.270360462230066,0.2501042,239
NC0088,ROANOKE RAPIDS PUBLIC LIBRARY,Municipal,1,0,1,2,3,4.9678744121348615,0.3333333,
NC0053,ROBESON COUNTY PUBLIC LIBRARY,County,4,0,4,15.93,19.93,4.277374769283599,0.2007025,0
NC0054,ROCKINGHAM COUNTY PUBLIC LIBRARY,County,8,0,8,28.3,36.3,9.89575382199638,0.2203857,0
NC0055,ROWAN PUBLIC LIBRARY,County,12.3,2,14.3,36.39,50.69,8.57414461532216,0.2426514,
NC0056,RUTHERFORD COUNTY LIBRARY,County,1,2,3,6.58,9.58,3.7268723837978306,0.1043841,875
NC0057,SAMPSON-CLINTON PUBLIC LIBRARY,County,1,0,1,11.23,12.23,5.180535081922771,0.0817661,165
NC0015,SANDHILL REGIONAL LIBRARY SYSTEM,Regional,4.9,1,5.9,38.85,44.75,5.273515755733108,0.1094972,2833
NC0058,SCOTLAND COUNTY MEMORIAL LIBRARY,County,2,0,2,5,7,5.256518082422204,0.2857143,37
NC0050,SHEPPARD MEMORIAL LIBRARY,County,2,2,4,26.67,30.67,4.575317452740118,0.0652103,399
NC0093,SOUTHERN PINES PUBLIC LIBRARY,Municipal,7,0,7,3.8,10.8,16.91623331871437,0.6481481,192
NC0059,STANLY COUNTY PUBLIC LIBRARY,County,3.75,0,3.75,10.36,14.11,5.629678098916357,0.265769,50
NC0060,TRANSYLVANIA COUNTY LIBRARY,County,7,0,7,11.55,18.55,13.90096220137286,0.3773585,4632
NC0061,UNION COUNTY PUBLIC LIBRARY,County,7,4,11,47.59,58.59,6.0290679486968415,0.1194743,1231
NC0063,WAKE COUNTY PUBLIC LIBRARIES,County,137.5,0,137.5,115,252.5,5.485686377769783,0.5445545,2882
NC0101,WARREN COUNTY MEMORIAL LIBRARY,County,1,0,1,7.5,8.5,11.273209549071618,0.1176471,
NC0065,WAYNE COUNTY PUBLIC LIBRARY,County,15.1,0.7,15.8,18.8,34.6,7.351566351073414,0.4364162,658
NC0066,WILSON COUNTY PUBLIC LIBRARY,County,6,1,7,25.56,32.56,10.361639022899986,0.1842752,439
